Year,Prscrbr_Geo_Lvl,Prscrbr_Geo_Cd,Prscrbr_Geo_Desc,RUCA_Cd,Breakout_Type,Breakout,Tot_Prscrbrs,Tot_Opioid_Prscrbrs,Tot_Opioid_Clms,Tot_Clms,Opioid_Prscrbng_Rate,Opioid_Prscrbng_Rate_5Y_Chg,Opioid_Prscrbng_Rate_1Y_Chg,LA_Tot_Opioid_Clms,LA_Opioid_Prscrbng_Rate,LA_Opioid_Prscrbng_Rate_5Y_Chg,LA_Opioid_Prscrbng_Rate_1Y_Chg
2019,State,23,Maine,,Totals,Overall,6404,4145,305575,6950146,4.4,-1.87,-0.18,49864,16.32,-1.92,-0.75
2019,State,24,Maryland,,Totals,Overall,24498,15725,933513,19594479,4.76,-1.45,-0.22,148648,15.92,-1.03,-0.81
2019,State,25,Massachusetts,,Totals,Overall,36988,23028,1137441,34914678,3.26,-1.23,-0.06,163389,14.36,-1.09,-0.68
2019,State,26,Michigan,,Totals,Overall,43309,30583,2595711,50868312,5.1,-2.35,-0.45,283599,10.93,-1.53,-0.83
2019,State,27,Minnesota,,Totals,Overall,23498,16098,878126,23344567,3.76,-1.64,-0.28,104798,11.93,-3.05,-0.97
2019,State,28,Mississippi,,Totals,Overall,9783,7085,804302,17709736,4.54,-1.73,-0.38,58137,7.23,-1.04,-0.5
2019,State,29,Missouri,,Totals,Overall,22877,14228,1747630,35871468,4.87,-1.22,-0.2,176505,10.1,-2.19,-1.3
2019,State,30,Montana,,Totals,Overall,4457,3164,239927,4462635,5.38,-1.43,-0.35,32633,13.6,-3.84,-0.99
2019,State,31,Nebraska,,Totals,Overall,7520,5312,392368,9691854,4.05,-1.03,-0.24,52156,13.29,-0.75,-0.5
2019,State,32,Nevada,,Totals,Overall,8716,5842,588165,9825343,5.99,-2.05,-0.28,72784,12.37,-2.38,-1.34
2019,State,33,New Hampshire,,Totals,Overall,6351,4136,238559,5966688,4,-2.13,-0.3,44184,18.52,-2.6,-1.38
2019,State,34,New Jersey,,Totals,Overall,33056,20211,1211676,37460894,3.23,-1.13,-0.18,172303,14.22,-2.26,-1.17
